"","DIGNIDAD_CODIGO","OP_CODIGO","CANDIDATO_CODIGO","CANDIDATO_ORDEN","CANDIDATO_PROVINCIA_CODIGO","CANDIDATO_CANTON_CODIGO","CANDIDATO_PARROQUIA_CODIGO","CANDIDATO_NOMBRE","CANDIDATO_SEXO","CANDIDATO_EDAD_EXACTA","CANDIDATO_GRUPOS_DE_EDAD","SUPLENTE_NOMBRE.1","SUPLENTE_SEXO.1","SUPLENTE_EDAD_EXACTA.1","SUPLENTE_GRUPO_DE_EDAD.1","SUPLENTE_NOMBRE.2","SUPLENTE_SEXO.2","SUPLENTE_EDAD_EXACTA.2","SUPLENTE_GRUPO_DE_EDAD.2"
"1",5,2001,5027600000001,1,2,760,0,"JIMENEZ SUAREZ LAURA ELIZABETH                                                                      ","MUJERES",34.2185792349727,"DE 30 A MENOS DE 45 AÑOS","NARANJO MONTERO SEGUNDO MILTON                                                                      ","HOMBRES",60.6082191780822,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"2",5,2001,5021750000003,3,2,175,0,"GUAMAN BERTHA DEBORA                                                                                ","MUJERES",42.813698630137,"DE 30 A MENOS DE 45 AÑOS","BRITO FIERRO ANGEL GABRIEL                                                                          ","HOMBRES",55.1095890410959,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"3",5,6,5178960000012,3,17,896,0,"FARES FARES MARIURI ELENA                                                                           ","MUJERES",37.2493150684932,"DE 30 A MENOS DE 45 AÑOS","BAQUE FLORES LUIS EFREN                                                                             ","HOMBRES",43.7369863013699,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"4",3,9002,3090000000106,4,9,0,0,"MONAR VELEZ GLADYS VANESSA                                                                          ","MUJERES",27.7013698630137,"MENORES DE 30 AÑOS","CHILA PLASENCIA AURELIO JUSTINO                                                                     ","HOMBRES",50.3224043715847,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"5",5,5,5094100000021,1,9,410,0,"VERA VILLAO ROBERTO MARTIN                                                                          ","HOMBRES",45.9262295081967,"DE 45 A MENOS DE 65 AÑOS","GUILLEN VASQUEZ EDISON NICOLAS                                                                      ","HOMBRES",41.372602739726,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6",5,1,5095050000005,2,9,505,0,"LARA ROMERO HECTOR PABLO                                                                            ","HOMBRES",50.7322404371585,"DE 45 A MENOS DE 65 AÑOS","RODRIGUEZ PEREDO RUBEN ERNESTO                                                                      ","HOMBRES",35.1013698630137,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"7",5,56,5090950000026,2,9,95,0,"VILLA VILLALTA MARIA SANTOS                                                                         ","MUJERES",45.3616438356164,"DE 45 A MENOS DE 65 AÑOS","PARRALES RAMOS JORGE WILLIAM                                                                        ","HOMBRES",35.786301369863,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"8",5,4,5093950000011,2,9,395,0,"CADENA MARIDUENA JANET NARCISA                                                                      ","MUJERES",47.9315068493151,"DE 45 A MENOS DE 65 AÑOS","PARRA CADENA VICTOR EMILIO                                                                          ","HOMBRES",29.0027397260274,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"9",5,17007,5170850000079,1,17,85,0,"AGUAVIL CALAZACON WILLIAM PATRICIO                                                                  ","HOMBRES",35.7808219178082,"DE 30 A MENOS DE 45 AÑOS","BONE PALACIOS FANNY ELIZABETH                                                                       ","MUJERES",44.0219178082192,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"10",5,3,5112900000008,2,11,290,0,"QUIZHPE RIVAS EDGAR VINICIO                                                                         ","HOMBRES",43.5534246575342,"DE 30 A MENOS DE 45 AÑOS","ZARUMA MORA DARWIN JAVIER                                                                           ","HOMBRES",27.1397260273973,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
