"","DIGNIDAD_CODIGO","OP_CODIGO","CANDIDATO_CODIGO","CANDIDATO_ORDEN","CANDIDATO_PROVINCIA_CODIGO","CANDIDATO_CANTON_CODIGO","CANDIDATO_PARROQUIA_CODIGO","CANDIDATO_NOMBRE","CANDIDATO_SEXO","CANDIDATO_EDAD_EXACTA","CANDIDATO_GRUPOS_DE_EDAD","SUPLENTE_NOMBRE","SUPLENTE_SEXO","SUPLENTE_EDAD_EXACTA","SUPLENTE_GRUPOS_DE_EDAD"
"1",7,48,7010000000001,1,1,0,0,"REGALADO SILVA RORY FABIAN                                                                          ","HOMBRES",32.9287671232877,"DE 30 A MENOS DE 45 AÑOS","HURTADO REIBAN MERCI SUSANA                                                                         ","MUJERES",34.8415300546448,"DE 30 A MENOS DE 45 AÑOS"
"2",7,48,7010000000002,2,1,0,0,"GARNICA VILLALTA ANA DOMINGA                                                                        ","MUJERES",33.558904109589,"DE 30 A MENOS DE 45 AÑOS","GOERCKE DELGADO WILLY JUAN                                                                          ","HOMBRES",42.7232876712329,"DE 30 A MENOS DE 45 AÑOS"
"3",7,48,7010000000003,3,1,0,0,"CABRERA ROMERO ANGEL CORNELIO                                                                       ","HOMBRES",43.6830601092896,"DE 30 A MENOS DE 45 AÑOS","PROCEL LEON DELIA ALEGRIA                                                                           ","MUJERES",35.8739726027397,"DE 30 A MENOS DE 45 AÑOS"
"4",7,48,7010000000004,4,1,0,0,"ESPINOZA CORONEL MARIA ANTONIETA                                                                    ","MUJERES",38.3424657534247,"DE 30 A MENOS DE 45 AÑOS","LAZO SIGUENZA MANUEL GERMAN                                                                         ","HOMBRES",60.9041095890411,"DE 45 A MENOS DE 65 AÑOS"
"5",7,48,7010000000005,5,1,0,0,"QUILAMBAQUI SAGBAY HERNAN DARIO                                                                     ","HOMBRES",34.1890410958904,"DE 30 A MENOS DE 45 AÑOS","ROMERO ALVARRACIN AIDA MARIA                                                                        ","MUJERES",32.2,"DE 30 A MENOS DE 45 AÑOS"
"6",7,3,7010000000006,1,1,0,0,"GALLEGOS BRAVO MARIETA EUGENIA                                                                      ","MUJERES",53.5315068493151,"DE 45 A MENOS DE 65 AÑOS","MORALES BRAVO MARCO EUGENIO                                                                         ","HOMBRES",52.2767123287671,"DE 45 A MENOS DE 65 AÑOS"
"7",7,3,7010000000007,2,1,0,0,"AGUILAR AGUILAR ROMAN WILFRIDO                                                                      ","HOMBRES",51.1775956284153,"DE 45 A MENOS DE 65 AÑOS","CALLE CORDERO MONICA NARCISA                                                                        ","MUJERES",25.2986301369863,"MENOS DE 30 AÑOS"
"8",7,3,7010000000008,3,1,0,0,"QUEVEDO MOSCOSO ELSA NOEMI                                                                          ","MUJERES",55.9260273972603,"DE 45 A MENOS DE 65 AÑOS","CARVALLO TORRES DIEGO ANTONIO                                                                       ","HOMBRES",38.6164383561644,"DE 30 A MENOS DE 45 AÑOS"
"9",7,3,7010000000009,4,1,0,0,"CREAMER AGUIRRE EDISON RICARDO                                                                      ","HOMBRES",34.7568306010929,"DE 30 A MENOS DE 45 AÑOS","JARA SANISACA JUANA CATALINA                                                                        ","MUJERES",31.4153005464481,"DE 30 A MENOS DE 45 AÑOS"
"10",7,3,7010000000010,5,1,0,0,"JIMENEZ CRESPO ALEJANDRA ELIZABETH                                                                  ","MUJERES",26.896174863388,"MENOS DE 30 AÑOS","PINOS ORTIZ DIEGO LUIS                                                                              ","HOMBRES",26.0493150684932,"MENOS DE 30 AÑOS"
