"","DIGNIDAD_CODIGO","OP_CODIGO","CANDIDATO_CODIGO","CANDIDATO_ORDEN","CANDIDATO_PROVINCIA_CODIGO","CANDIDATO_CIRCUNSCRIPCION_CODIGO","CANDIDATO_CANTON_CODIGO","CANDIDATO_PARROQUIA_CODIGO","CANDIDATO_NOMBRE","CANDIDATO_SEXO","CANDIDATO_EDAD_EXACTA","CANDIDATO_GRUPOS_DE_EDAD","SUPLENTE_NOMBRE.1","SUPLENTE_SEXO.1","SUPLENTE_EDAD_EXACTA.1","SUPLENTE_GRUPOS_DE_EDAD.1","SUPLENTE_NOMBRE.2","SUPLENTE_SEXO.2","SUPLENTE_EDAD_EXACTA.2","SUPLENTE_GRUPOS_DE_EDAD.2"
"1",1,9,1000001,1,0,0,0,0,"NOBOA PONTON ALVARO FERNANDO                                                                        ","HOMBRES",62.241095890411,"DE 45 A MENOS DE 65 AÑOS","AZIN ARCE ANNABELLA EMMA                                                                            ","MUJERES",52.7369863013699,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"2",1,3,1000002,1,0,0,0,0,"CORREA DELGADO RAFAEL VICENTE                                                                       ","HOMBRES",49.8684931506849,"DE 45 A MENOS DE 65 AÑOS","GLAS ESPINEL JORGE DAVID                                                                            ","HOMBRES",44.4465753424658,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"3",1,12,1000003,1,0,0,0,0,"WRAY REYES NORMAN STEF                                                                              ","HOMBRES",43.1616438356164,"DE 30 A MENOS DE 45 AÑOS","MENDOZA CASTRO ANGELA ROSA                                                                          ","MUJERES",38.7205479452055,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"4",1,7,1000004,1,0,0,0,0,"ACOSTA ESPINOSA ALBERTO JOSE                                                                        ","HOMBRES",64.5768620405719,"DE 45 A MENOS DE 65 AÑOS","CAICEDO CAICEDO MARCIA ELENA                                                                        ","MUJERES",38.6356164383562,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"5",1,4,1000005,1,0,0,0,0,"GUTIERREZ BORBUA LUCIO EDWIN                                                                        ","HOMBRES",55.9068493150685,"DE 45 A MENOS DE 65 AÑOS","BOYES FULLER PEARL ANN                                                                              ","HOMBRES",43.5095890410959,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6",1,8,1000006,1,0,0,0,0,"LASSO MENDOZA GUILLERMO ALBERTO SANTIAGO                                                            ","HOMBRES",57.2547945205479,"DE 45 A MENOS DE 65 AÑOS","SOLINES MORENO JUAN CARLOS                                                                          ","HOMBRES",45.691661052474,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"7",1,1,1000007,1,0,0,0,0,"ZAVALA AVELLAN NELSON MARTIN                                                                        ","HOMBRES",53.0163934426229,"DE 45 A MENOS DE 65 AÑOS","CEVALLOS CAPURRO DENNY MARELY                                                                       ","MUJERES",62.6739726027397,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"8",1,13,1000008,1,0,0,0,0,"RODAS ESPINEL MAURICIO ESTEBAN                                                                      ","HOMBRES",37.8438356164384,"DE 30 A MENOS DE 45 AÑOS","MANZANO DIAZ INES MARIA                                                                             ","MUJERES",42.8821917808219,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"9",7,8,7010001,1,1,0,0,0,"CEVALLOS MUÑOZ ANA LUCIA                                                                           ","MUJERES",47.6027397260274,"DE 45 A MENOS DE 65 AÑOS","ANDRADE AVILA JULIO ANDRE                                                                           ","HOMBRES",33.7189834568456,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"10",7,8,7010002,2,1,0,0,0,"CRESPO AMPUDIA CARLOS MARIO                                                                         ","HOMBRES",42.1369863013699,"DE 30 A MENOS DE 45 AÑOS","CUESTA ORELLANA MARIA DE LOURDES                                                                    ","MUJERES",37.3856501235122,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
