"","PROVINCIA_CODIGO","PROVINCIA_NOMBRE","CANTON_CODIGO","CANTON_NOMBRE"
"1",1,"AZUAY                                                                                               ",260,"CUENCA                                                                                              "
"2",1,"AZUAY                                                                                               ",265,"GUALACEO                                                                                            "
"3",1,"AZUAY                                                                                               ",270,"GIRON                                                                                               "
"4",1,"AZUAY                                                                                               ",275,"PAUTE                                                                                               "
"5",1,"AZUAY                                                                                               ",280,"SIGSIG                                                                                              "
"6",1,"AZUAY                                                                                               ",285,"STA.ISABEL                                                                                          "
"7",1,"AZUAY                                                                                               ",555,"PUCARA                                                                                              "
"8",1,"AZUAY                                                                                               ",556,"CAMILO PONCE ENRIQUEZ                                                                               "
"9",1,"AZUAY                                                                                               ",780,"ONA                                                                                                 "
"10",1,"AZUAY                                                                                               ",855,"SAN FERNANDO                                                                                        "
"11",1,"AZUAY                                                                                               ",885,"NABON                                                                                               "
"12",1,"AZUAY                                                                                               ",915,"CHORDELEG                                                                                           "
"13",1,"AZUAY                                                                                               ",955,"SEVILLA DE ORO                                                                                      "
"14",1,"AZUAY                                                                                               ",960,"EL PAN                                                                                              "
"15",1,"AZUAY                                                                                               ",990,"GUACHAPALA                                                                                          "
"16",2,"BOLIVAR                                                                                             ",165,"GUARANDA                                                                                            "
"17",2,"BOLIVAR                                                                                             ",170,"CHIMBO                                                                                              "
"18",2,"BOLIVAR                                                                                             ",175,"SAN MIGUEL                                                                                          "
"19",2,"BOLIVAR                                                                                             ",180,"CHILLANES                                                                                           "
"20",2,"BOLIVAR                                                                                             ",185,"ECHEANDIA                                                                                           "
"21",2,"BOLIVAR                                                                                             ",760,"CALUMA                                                                                              "
"22",2,"BOLIVAR                                                                                             ",950,"LAS NAVES                                                                                           "
"23",3,"CANAR                                                                                               ",235,"AZOGUES                                                                                             "
"24",3,"CANAR                                                                                               ",240,"CANAR                                                                                               "
"25",3,"CANAR                                                                                               ",241,"SUSCAL                                                                                              "
"26",3,"CANAR                                                                                               ",245,"BIBLIAN                                                                                             "
"27",3,"CANAR                                                                                               ",250,"LA TRONCAL                                                                                          "
"28",3,"CANAR                                                                                               ",765,"EL TAMBO                                                                                            "
"29",3,"CANAR                                                                                               ",905,"DELEG                                                                                               "
"30",4,"CARCHI                                                                                              ",5,"TULCAN                                                                                              "
