"","OP_CODIGO","OP_PROVINCIA_CODIGO","OP_CANTON_CODIGO","OP_PARROQUIA_CODIGO","OP_TIPO","OP_AMBITO","OP_NOMBRE","OP_SIGLAS","OP_LISTA"
"1",1,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO UNION NACIONAL UNO                                                                                                                                                                              ","UN - UNO                                          ","1         "
"2",2,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO LIBERAL RADICAL ECUATORIANO                                                                                                                                                                     ","PLRE                                              ","2         "
"3",3,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO SOCIEDAD PATRIOTICA 21 DE ENERO                                                                                                                                                                 ","PSP                                               ","3         "
"4",4,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO CONCENTRACION DE FUERZAS POPULARES                                                                                                                                                              ","CFP                                               ","4         "
"5",5,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO DEMOCRACIA POPULAR - UNION DEMOCRATA CRISTIANA                                                                                                                                                  ","DP-UDC                                            ","5         "
"6",6,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO SOCIAL CRISTIANO                                                                                                                                                                                ","PSC                                               ","6         "
"7",7,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO RENOVADOR INSTITUCIONAL ACCION NACIONAL                                                                                                                                                         ","PRIAN                                             ","7         "
"8",10,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO ROLDOSISTA ECUATORIANO                                                                                                                                                                          ","PRE                                               ","10        "
"9",11,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO LIBERTAD                                                                                                                                                                                        ","PL                                                ","11        "
"10",12,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO IZQUIERDA DEMOCRATICA                                                                                                                                                                           ","ID                                                ","12        "
"11",14,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO ALFARISMO NACIONAL                                                                                                                                                                              ","AN                                                ","14        "
"12",15,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO MOVIMIENTO POPULAR DEMOCRATICO                                                                                                                                                                  ","MPD                                               ","15        "
"13",17,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO SOCIALISTA - FRENTE AMPLIO                                                                                                                                                                      ","PS-FA                                             ","17        "
"14",18,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK - NUEVO PAIS                                                                                                                                                 ","MUPP-NP                                           ","18        "
"15",19,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO REALIDAD 2000                                                                                                                                                                                ","MR2000                                            ","19        "
"16",20,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO RENOVACION DEMOCRATICA                                                                                                                                                                       ","MRD                                               ","20        "
"17",21,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO CIUDADANOS NUEVO PAIS                                                                                                                                                                        ","MCNP                                              ","21        "
"18",22,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO TRANSFORMACION SOCIAL INDEPENDIENTE                                                                                                                                                          ","TSI                                               ","22        "
"19",23,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO NUEVO AMANECER                                                                                                                                                                               ","MNA                                               ","23        "
"20",24,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO PATRIA SOLIDARIA                                                                                                                                                                             ","MPS                                               ","24        "
"21",25,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO JUSTICIA                                                                                                                                                                                     ","MJ                                                ","25        "
"22",27,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO INQUILINOS POR LA PATRIA                                                                                                                                                                     ","MIPP                                              ","27        "
"23",28,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO INDEPENDIENTE AMAUTA JATARI                                                                                                                                                                  ","MIAJ                                              ","28        "
"24",29,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO INDEPENDIENTE NACIONAL POR LA CONCERTACION SOCIAL                                                                                                                                            ","MINCS                                             ","29        "
"25",30,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO DE INTEGRACION NACIONAL - MIN                                                                                                                                                                ","MIN                                               ","30        "
"26",32,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO PATRIOTICO SIMON BOLIVAR                                                                                                                                                                     ","MPSM                                              ","32        "
